rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
1500000	2	3	skb	no-touch	1	True	1241323.8	0.172449	1.0	2572.91	6.4241	1.2728	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172745Z_xdp_drop_1500000.json
1500000	2	4	native	no-touch	1	True	1500008.2	0.0	1.0	426.81	1.0542	0.0887	0.0198	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172833Z_xdp_drop_1500000.json
10500000	2	1	skb	read-data	1	True	1246097.5	0.881231	1.0	2563.08	5.7332	0.3021	0.0647	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172921Z_xdp_drop_10500000.json
10500000	2	2	skb	no-touch	1	True	1249940.3	0.880653	1.0	2555.2	6.3005	0.3077	0.0649	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173009Z_xdp_drop_10500000.json
10500000	2	3	native	no-touch	1	True	10498810.8	0.0	1.0	254.45	1.0506	0.0624	0.004	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173056Z_xdp_drop_10500000.json
10500000	2	4	native	read-data	1	True	10499851.6	0.0	1.0	275.4	0.435	0.0747	0.137	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173144Z_xdp_drop_10500000.json
2500000	2	1	skb	read-data	1	True	1242133.6	0.503119	1.0	2571.24	6.2355	1.1173	0.0631	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173232Z_xdp_drop_2500000.json
2500000	2	2	skb	no-touch	1	True	1247443.3	0.501008	1.0	2560.29	6.3761	1.0619	0.063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173319Z_xdp_drop_2500000.json
2500000	2	3	native	no-touch	1	True	2499944.6	0.0	1.0	452.49	0.9797	0.066	0.0231	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173407Z_xdp_drop_2500000.json
2500000	2	4	native	read-data	1	True	2499982.8	0.0	1.0	482.73	0.5118	0.0729	0.2541	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173455Z_xdp_drop_2500000.json
3000000	2	1	native	no-touch	1	True	2999918.9	0.0	1.0	430.16	1.087	0.0742	0.0206	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173543Z_xdp_drop_3000000.json
3000000	2	2	skb	no-touch	1	True	1243785.9	0.585409	1.0	2567.83	6.4666	0.9395	0.063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T173630Z_xdp_drop_3000000.json
